gu,dong,number,기준_년분기_코드,행정동_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,보증금(만원)_전세,임대료(만원)_전세,임대면적_전세,보증금(만원)_월세,임대료(만원)_월세,임대면적_월세
중구,동화동,1118,20242,11140665,47,3.0,1.0,,,5.0,,1.0,1.0,,,,,,,,,,2.0,4.0,,,,,,
용산구,후암동,4243,20242,11170510,80,6.0,1.0,,,7.0,1.0,2.0,,1.0,,,2.0,,,,,,,18.0,23436.48708487085,0.0,44.66647601476015,5279.576719576719,59.87830687830688,43.32814814814815
용산구,용산2가동,2786,20242,11170520,63,3.0,,,,4.0,,1.0,2.0,2.0,,,,,,,,,1.0,29.0,,,,,,
용산구,남영동,3723,20242,11170530,147,7.0,5.0,,,14.0,,,1.0,,,,,,12.0,,,,3.0,26.0,19638.88888888889,0.0,47.88555555555556,2700.0,52.5,25.096
용산구,원효로2동,2577,20242,11170570,69,4.0,2.0,,,4.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,27.0,,,,,,
용산구,효창동,1759,20242,11170580,66,1.0,1.0,,,5.0,,1.0,,1.0,1.0,,,,,,,,2.0,22.0,37145.454545454544,0.0,48.1060303030303,11767.055555555557,83.63675213675214,49.28448717948718
용산구,용문동,2136,20242,11170590,54,1.0,,,,3.0,,,,,,,,,,,,,,22.0,26584.6036036036,0.0,42.07536036036036,5287.732558139535,63.52325581395349,37.73703488372093
용산구,이촌1동,1810,20242,11170630,102,4.0,9.0,,1.0,12.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,14.0,,,,,,
용산구,이촌2동,1310,20242,11170640,26,2.0,,,,1.0,,,,,,,,,,,,,,11.0,,,,,,
용산구,이태원1동,1978,20242,11170650,71,8.0,5.0,,,3.0,,1.0,,,,,3.0,,,,,,1.0,14.0,,,,,,
용산구,이태원2동,2705,20242,11170660,60,8.0,5.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,22.0,,,,,,
용산구,서빙고동,1687,20242,11170690,61,15.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,21.0,59950.3125,0.0,101.4109375,16082.142857142857,155.05714285714285,90.26942857142856
용산구,보광동,3469,20242,11170700,70,4.0,1.0,,,8.0,1.0,,1.0,1.0,6.0,,,,,,,,,14.0,24823.612565445022,0.0,61.549528795811526,2171.412213740458,60.732824427480914,43.13980916030534
용산구,청파동,7001,20242,11170555,128,7.0,2.0,,1.0,11.0,,2.0,2.0,4.0,22.0,,1.0,,1.0,,,,,35.0,,,,,,
용산구,원효로1동,5170,20242,11170560,94,6.0,3.0,,,6.0,1.0,1.0,,,3.0,,4.0,,,,,,,31.0,,,,,,
용산구,한강로동,6056,20242,11170625,242,19.0,19.0,,,21.0,,2.0,,1.0,,,5.0,3.0,2.0,,,,7.0,41.0,,,,,,
